datetime,storm_type,lon,lat,mslp,intensity
201509261800,Low,-68.7,26.8,1011.0,20.0
201509270000,Low,-68.6,26.9,1011.0,20.0
201509270600,Low,-68.5,27.0,1010.0,20.0
201509271200,Low,-68.6,27.1,1009.0,25.0
201509271800,Low,-68.8,27.2,1007.0,30.0
201509280000,Tropical Depression,-69.0,27.4,1007.0,30.0
201509280600,Tropical Depression,-69.3,27.6,1007.0,30.0
201509281200,Tropical Depression,-69.7,27.7,1006.0,30.0
201509281800,Tropical Depression,-70.0,27.4,1003.0,30.0
201509290000,Tropical Storm,-70.1,26.9,1002.0,35.0
201509290600,Tropical Storm,-70.3,26.5,1002.0,35.0
201509291200,Tropical Storm,-70.5,26.2,999.0,45.0
201509291800,Tropical Storm,-70.8,26.0,992.0,55.0
201509300000,Tropical Storm,-71.3,25.8,985.0,60.0
201509300600,Hurricane,-71.8,25.4,978.0,65.0
201509301200,Hurricane,-72.2,24.9,971.0,70.0
201509301800,Hurricane,-72.5,24.4,961.0,80.0
201510010000,Major Hurricane,-72.9,23.9,951.0,100.0
201510010600,Major Hurricane,-73.3,23.5,947.0,110.0
201510011200,Major Hurricane,-73.7,23.1,942.0,115.0
201510011800,Major Hurricane,-74.2,23.0,936.0,115.0
201510020000,Major Hurricane,-74.4,22.9,931.0,120.0
201510020600,Major Hurricane,-74.7,23.0,935.0,120.0
201510021200,Major Hurricane,-74.8,23.4,937.0,115.0
201510021600,Major Hurricane,-74.8,23.6,940.0,110.0
201510021800,Major Hurricane,-74.7,23.8,941.0,110.0
201510022100,Major Hurricane,-74.5,24.1,942.0,110.0
201510030000,Major Hurricane,-74.3,24.3,943.0,115.0
201510030600,Major Hurricane,-73.6,24.8,945.0,120.0
201510031200,Major Hurricane,-72.6,25.4,934.0,135.0
201510031800,Major Hurricane,-71.0,26.3,934.0,130.0
201510040000,Major Hurricane,-69.5,27.4,941.0,115.0
201510040600,Major Hurricane,-68.3,28.9,949.0,105.0
201510041200,Hurricane,-67.2,30.4,956.0,95.0
201510041800,Hurricane,-66.5,31.6,958.0,85.0
201510050000,Hurricane,-66.0,32.6,961.0,75.0
201510050600,Hurricane,-65.6,33.6,964.0,75.0
201510051200,Hurricane,-65.2,34.4,964.0,75.0
201510051800,Hurricane,-64.5,35.3,964.0,75.0
201510060000,Hurricane,-63.6,36.2,967.0,75.0
201510060600,Hurricane,-62.3,37.0,970.0,75.0
201510061200,Hurricane,-60.4,37.9,974.0,70.0
201510061800,Hurricane,-58.0,38.8,974.0,70.0
201510070000,Hurricane,-54.9,39.6,974.0,70.0
201510070600,Hurricane,-51.5,40.3,977.0,65.0
201510071200,Tropical Storm,-47.5,41.0,977.0,60.0
201510071800,Tropical Storm,-43.3,41.5,977.0,60.0
201510080000,Low,-39.1,41.9,977.0,55.0
201510080600,Low,-35.0,42.4,977.0,50.0
201510081200,Low,-31.0,43.0,980.0,45.0
201510081800,Low,-27.3,43.5,984.0,45.0
201510090000,Extratropical Cyclone,-24.1,43.9,987.0,45.0
201510090600,Extratropical Cyclone,-21.9,44.1,988.0,45.0
201510091200,Extratropical Cyclone,-19.9,44.2,988.0,45.0
201510091800,Extratropical Cyclone,-18.2,44.1,989.0,40.0
201510100000,Extratropical Cyclone,-16.4,43.8,992.0,35.0
201510100600,Extratropical Cyclone,-15.0,43.4,993.0,35.0
201510101200,Extratropical Cyclone,-13.9,43.1,996.0,35.0
201510101800,Extratropical Cyclone,-12.9,42.8,998.0,30.0
201510110000,Extratropical Cyclone,-12.0,42.5,999.0,30.0
201510110600,Extratropical Cyclone,-11.3,42.2,1000.0,30.0
201510111200,Extratropical Cyclone,-10.8,41.8,1001.0,35.0
201510111800,Extratropical Cyclone,-10.5,41.2,1001.0,35.0
201510120000,Extratropical Cyclone,-10.2,40.4,1002.0,35.0
201510120600,Extratropical Cyclone,-9.7,39.8,1002.0,35.0
201510121200,Extratropical Cyclone,-9.1,39.5,1003.0,35.0
201510121800,Extratropical Cyclone,-8.8,39.1,1005.0,30.0
201510130000,Extratropical Cyclone,-8.9,38.6,1007.0,25.0
201510130600,Extratropical Cyclone,-9.1,38.0,1009.0,20.0
201510131200,Extratropical Cyclone,-9.2,37.3,1010.0,20.0
201510131800,Extratropical Cyclone,-9.1,36.6,1010.0,20.0
201510140000,Extratropical Cyclone,-9.0,36.0,1011.0,20.0
201510140600,Extratropical Cyclone,-8.7,35.5,1011.0,20.0
201510141200,Extratropical Cyclone,-8.4,35.1,1011.0,20.0
201510141800,Extratropical Cyclone,-8.0,35.0,1012.0,15.0
201510150000,Extratropical Cyclone,-7.7,35.2,1012.0,15.0
